from_city;to_city;flux1;flux2;flux3;flux4;flux5;flux6;flux7;flux8;flux9;flux10;fluxN1;fluxN2;fluxN3;fluxN4;fluxN5;fluxN6;fluxN7;fluxN8;fluxN9;fluxN10
Ostsee;Kolberg;;;;;;;;;;;;;;;;;;8;;
Schneidemühl;Kolberg;67;;;;;;;;;;;;;;;;;;;
Düren;Köln;;;;;;122;;;;;;;;;;;;;;
Düsseldorf;Köln;;;;;;;;;;;;;;2077;;;;;;
Essen;Köln;;;;4810;;;;;;;;;;;;;;;;
Viersen;Köln;;;;2244;;;;;;;;;;;;;;;;
Marienburg;Königsberg;124;;;;;;;4;;;;;;;;;;;;
Ostsee;Königsberg;;;;;;;;;;;;;;;;;;170;;
Gleiwitz;Kosel;6398;;;;;;;;;;;;;;;;;;;
Neisse;Kosel;;;22;;;;;;;;;;;;;;;;;
Dresden;Kottbus;;;;;;;;;;503;;;;;;;;;;
Finsteroulde;Kottbus;;;;;;;;;;169;;;;;;;;;;
Sorau;Kottbus;275;;53;;;;;;170;;;;;;;;;;;
Spremberg;Kottbus;10;;103;;;;;;38;;;;;;;;;;;
Beuthen;Krakow;151;;;;;;;;;;;;;;;;;;;
Posen;Kreuz;333;;;;;;;;;;;;;;;;;;;
Oels;Krotoschin;155;;;;;;;;;;;;;;;;;;;
Frankfurt (Oder);Küstrin;191;;44;;;;;;;;;;;;;;;;;
Müncheberg;Küstrin;;;;;;;;;73;;;;;;;;;;;
Kreuz;Landsberg;36;;;;;;;;;;;;;;;;;;;
Küstrin;Landsberg;34;;;;;;;;;;;;;;;;;;;
Hirschberg;Lauban;;;828;;;;;;;;;;;;;;;;;
Kohlfurth;Lauban;90;;;;;;;;;;;;;;;;;;;
Rothenberg;Lauchhammer;67;;;;;;;;;;;;;;;;;;;
Altenburg;Leipzig;;;;;;668;;;;;;;;;;;;;;
Altenburg;Leipzig;;;;;;;;;670;;;;;;;;;;;
Bitterfeld;Leipzig;;;;;;;;;126;;;;;;;;;;;
Halle;Leipzig;;;;;;;;;16;;;;;;;;;;;
Riesa;Leipzig;;;;;;27;;;;468;;;;;;;;;;
Weissenfels;Leipzig;;;;85;;;;;;;;;;;;;;;;
Ratibor;Leobschütz;373;;;;;;;;;;;;;;;;;;;
Aachen;Liège;;;;1188;;;;;;;;;;;;;;;;
Maastricht;Liège;;;;331;;;;;;;;;;;;;;;;
Verviers;Liège;;;;;;201;;;;;;;;;;;;;;
Breslau;Liegnitz;2500;;;;;;;;;;;;;;;;;;;
Jauer;Liegnitz;;;401;;;;;;;;;;;;;;;;;
Kohlfurth;Liegnitz;;;34;;;;;;;;;;;;;;;;;
Breslau;Lissa;1925;;11;;;;;;;;;;;;;;;;;
Halle;Lobejün;;;;;;;;;155;;;;;;;;;;;
Beuthen;Lodz;539;;;;;;;;;;;;;;;;;;;
Nordsee;London;;;;;;;;;;;;;;584;;;;;;
Hamburg;Lübeck;;;;122;;;;;;;0;;;;;;;;;
Ostsee;Lübeck;;;;;;;;;;;;;;;;;;43;;
Hamburg;Lüneburg;;;;69;;;;;;;0;;;;;;;;;
Hannover;Lüneburg;;;;90;33;;;;;;;;;;;;;;;
Diekirch;Luxemburg;;;;940;;115;;;;;;;;;;;;;;
Trier;Luxemburg;;69;;0;;;;;;;;;;;;;;;;
Verviers;Luxemburg;;;;613;;;;;;;;;;;;;;;;
Aachen;Maastricht;;;;;;19;;;;;;;;;;;;;;
Berlin;Magdeburg;32;;;;;;;;;;;;;;;;;;;
Braunschweig;Magdeburg;;;;299;;;;;;;;;;;;;;;;
Calbe;Magdeburg;;;;;;20;;;106;;;;;;;;;;;
Dessau;Magdeburg;;;;11;;;;;51;;;;;;;;;;;
Helmstedt;Magdeburg;;;;;;;;;434;;;;;;;;;;;
Oscherleben;Magdeburg;;;;77;;;;;;;;;;;;;;;;
Koblenz;Mainz-Wiesbaden;;;;1243;;;;;;;;;;1665;;;;;;
Darmstadt;Mannheim;;;;279;;;;;;;;;;;;;;;;
Mainz-Wiesbaden;Mannheim;;;;;;;;;;;;;;1043;;;;;;
Neustadt;Mannheim;;948;;;;;;;;;;;;;;;;;;
Dirschau;Marienburg;161;;;;;;;17;;;;;;;;;;;;
Ostsee;Memel;;;;;;;;;;;;;;;;;;118;;
Diedenhofen;Metz;;;;105;;26;;;;;;;;;;;;;;
Diedenhofen;Metz;;;;;;26;;;;;;;;;;;;;;
Saarbrücken;Metz;;1747;;;;;;;;;;;;;;;;;;
Herford;Minden;;;;2034;;;;;;;0;;;;;;;;;
Herford;Minden;;;;;;15;;;;;;;;;;;;;;
Deutsch Eylau;Mlawa;17;;;;;;;;;;;;;;;;;;;
Küstrin;Müncheberg;32;;;;;;;;;;;;;;;;;;;
Essen;Münster;;;;2193;;;;;;;;;;;;;;;;
Rothenberg;Muskau;15;;140;;;;;;;;;;;;;;;;;
Liège;Namur;;;;820;;26;;;;;;;;;;;;;;
Metz;Nancy;;674;;;;;;;;;;;;;;;;;;
Saarbrücken;Nancy;;567;;;;;;;;;;;;;;;;;;
Weimar;Naumburg;;;;170;;;;;;;;;;;;;;;;
Weissenfels;Naumburg;;;;;;86;;;396;119;;;;;;;;;;
Frankenstein;Neisse;;;57;;;;;;;;;;;;;;;;;
Kosel;Neisse;1020;;;;;;;;;;;;;;;;;;;
Hamburg;Neumünster;;;;93;;;;9;;;;;;;;;;;;
Schlewig;Neumünster;;;;;;;;6;;;;;;;;;;;;
Waldenburg;Neurode;;;186;;;;;;;;;;;;;;;;;
Koblenz;Neustadt;;;;;;;;;62;;;;;;;;;;;
Saarbrücken;Neustadt;;948;;;;;;;;;;;;;;;;;;
Nordheim;Nordhausen;;;;407;;;;;;;;;;;;;;;;
Sangerhausen;Nordhausen;;;;;;;;;75;59;;;;;;;;;;
Holsminden;Nordheim;;;;548;;;;;;;;;;;;;;;;
Bremen;Nordsee;;;;;;;;;;;;;;584;;;;;;
London;Nordsee;;;;;;;;;;;;;;;;;;4468;;
Bamberg;Nürnberg;;;;;;9;;;;;;;;;;;;;;
Wunsiedel;Nürnberg;;;;;;321;;;;;;;;;;;;;;
Wurzburg;Nürnberg;;;;84;;;;;;;;;;;;;;;;
Creutzburg;Oels;1335;;;;;;;;;;;;;;;;;;;
Gogolin;Oppeln;5136;;;;;;;;;;12;;;;;;;;;
Halberstadt;Oscherleben;;;;;;;;;101;;;;;;;;;;;
Magdeburg;Oscherleben;;;;;;;;;92;85;;;;;;;;;;
Jbbenbüren;Osnabrück;;;;;;63;;;;;;;;;;;;;;
Münster;Osnabrück;;;;2075;;;;;;;;;;;;;;;;
Ratibor;Ostrau;473;;;;;;;;;;;;;;;;;;;
Nordsee;Ostsee;;;;;;;;;;;;;;;;;;4263;;
Dortmund;Paderborn;;;;1385;;;;;;;;;;;;;;;;
Hamm;Paderborn;;;;1385;;;;;;;0;;;;;;;;;
Zwickau;Plauen;;;;;;1240;;;;;;;;;;;;;;
Jarotschin;Posen;151;;;;;;;;;;;;;;;;;;;
Lissa;Posen;1646;;;;;;;;;;;;;;;;;;;
Beuthen;Ratibor;1024;;;;;;;;;;;;;;;;;;;
Görlitz;Reichenberg;82;;;;;;;;;;;;;;;;;;;
Zittau;Reichenberg;;;100;;;;;;;67;;;;;;;;;;
Jbbenbüren;Rheine;;;;;;66;;;;;;;;;;;;;;
Chemnitz;Riesa;;;;;;291;;;;;;;;;;;;;;
Chemnitz;Riesa;;;;;;;;;;70;;;;;;;;;;
Dresden;Riesa;;;;;;137;;;;;;;;;;;;;;
Dresden;Riesa;;;;;;;;;;;;;;;;;;;;2003
Finsteroulde;Riesa;;;;;;;;;56;;;;;;;;;;;
Wittenberg;Riesa;;;;;;;;;;;;;;;;;;;;1664
Ostsee;Rostock;;;;;;;;;;;;;;;;;;63;;
Wiesmar;Rostock;;;;;;;;90;;;;;;;;;;;;
Kohlfurth;Rothenberg;88;;;;;;;;;;;;;;;;;;;
Düsseldorf;Rotterdam;;;;;;;;;;;;;;3454;;;;;47;
Trier;Saarbrücken;;;;14;;;;;;;;;;;;;;;;
Aschersleben;Sandersleben;;;;184;;;;;149;;;;;;;;;;;
Cöhern;Sandersleben;;;;;;;;;155;;;;;;;;;;;
Cöthen;Sandersleben;;;;;;;;;84;15;;;;;;;;;;
Sangerhausen;Sandersleben;;;;102;;;;;;;;;;;;;;;;
Halle;Sangerhausen;;;;;;;;;314;66;;;;;;;;;;
Nordhausen;Sangerhausen;;;;268;;;;;;;;;;;;;;;;
Hamburg;Schlewig;;;;21;;;;;;;;;;;;;;;;
Husum;Schlewig;;;;;;;;20;;;;;;;;;;;;
Posen;Schneidemühl;181;;;;;;;;;;;;;;;;;;;
Waldenburg;Schweidnitz;;;241;;;;;;;;;;;;;;;;;
Bamberg;Schweinfurt;;;;;;34;;;;;;;;;;;;;;
Essen;Siegen;;;;1991;;;;;;;;;;;;;;;;
Kohlfurth;Sorau;;;433;;;;;;;;;;;;;;;;;
Kohlfurth;Sorau;8;;433;;;;;;;;;;;;;;;;;
Liegnitz;Sorau;2404;;;;;;;;;;;;;;;;;;;
Muskau;Spremberg;14;;105;;;;;;46;;;;;;;;;;;
Kreuz;Stargard;257;;;;;;;;;;;;;;;;;;;
Hannover;Stendal;;;;454;;;;;;;;;;;;;;;;
Magdeburg;Stendal;;;;;;;;;21;17;;;;;;;;;;105
Küstrin;Stettin;53;;21;;;;;;13;;;;;;;;;;;
Ostsee;Stettin;;;;;;;;;;;;;;;;;;648;;
Stargard;Stettin;177;;;;;;;;;;;;;;;;;;;
Ostsee;Stralsund;;;;;;;;;;;;;;;;;;34;;
Karlsruhe;Strassburg;;;;92;;;;;;;;;;42;;;;;;
Karlsruhe;Strassburg;;;;92;;;;;;;;;;;;;;;;
Neustadt;Strassburg;;;;;;;;;62;;;;;;;;;;;
Saarbrücken;Strassburg;;;;;;;;;;;;3045;;;;;;;;
Karlsruhe;Stuttgart;;500;;90;;;;;;;;;;;;;;;;
Nordsee;Sylt;;;;;;;;;;;;;;;;;;31;;
Freiberg;Tharandt;;;;;;157;;;;;;;;;;;;;;
Gnesen;Thorn;929;;;;;;;;;;;;;;;;;;;
Nordsee;Tönning;;;;;;;;;;;;;;;;;;71;;
Nancy;Toul;;359;;;;;;;;;;140;;;;;;;;
Bonn;Trier;;;;379;;;;;;;;;;;;;;;;
Saarbrücken;Trier;;325;;;;;;;;;;;;;;;;;;
Essen;Utrecht;;;;2082;;;;;;;;;;;;;;;;
Metz;Verdun;;110;;;;23;;;;;;;;;;;;;;
Aachen;Verviers;;;;619;;328;;;;;;;;;;;;;;
Aachen;Viersen;;;;;;193;;;;;;;;;;;;;;
Düsseldorf;Viersen;;;;937;;;;;;;;;;;;;;;;
Arnsberg;Warburg;;;;1482;;;;;;;;;;;;;;;;
Paderborn;Warburg;;;;162;;;;;;;;;;;;;;;;
Crimmitschau;Weimar;;;;;;176;;;;;;;;;;;;;;
Erfurt;Weimar;;;;237;;;;;;;;;;;;;;;;
Gera;Weimar;;;;;;51;;;;13;;;;;;;;;;11
Naumburg;Weimar;;;;;;85;;;330;116;;;;;;;;;;
Leipzig;Weissenfels;;;;;;49;;;;122;;;;;;;;;;
Naumburg;Weissenfels;;;;169;;;;;;;;;;;;;;;;
Nordsee;Wesselburen;;;;;;;;;;;;;;;;;;44;;
Ostsee;Wiesmar;;;;;;;;;;;;;;;;;;123;;
Glatz;Wildenschwert;455;;84;;;;;;;;;;;;;;;;;
Glatz;Wildenschwert;;;84;;;;;;;;;;;;;;;;;
Waldenburg;Wildenschwert;;;295;;;;;;;;;;;;;;;;;
Creutzburg;Wilhelmsbrück;294;;;;;;;;;;;;;;;;;;;
Bitterfeld;Wittenberg;;;;;;;;;372;;;;;;;;;;;
Falkenberg;Wittenberg;37;;;;;;;;;;;;;;;;;;;
Magdeburg;Wittenberg;;;;;;;;;;;;;;;;;;;;818
Berlin;Wittenberge;23;;;;;;;;;;;;;;;;;;;
Hamburg;Wittenberge;;;;;;;;;;;;;;52;;;;277;;
Lüneburg;Wittenberge;;;;44;;;;;;;;;;;;;;;;
Stendal;Wittenberge;;;;;;;;;;;;;;;;;;252;;
Hof (Saale);Wunsiedel;;;;;;328;;;;;;;;;;;;;;
Frankfurt;Wurzburg;;;;196;;;;;;;;;;;;;;;;
Schweinfurt;Wurzburg;;;;;;5;;;;;;;;;;;;;;
Nordsee;Wyk;;;;;;;;;;;;;;;;;;52;;
Beuthen;Zawadzkie;1920;;;;;;;;;;;;;;;;;;;
Görlitz;Zittau;;;100;;;;;;;;;;;;;;;;;
